index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
101	graph-id-property-wrapped-contains-target-23-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	437666	1490875	0.2935631759872558	11	6135	718b52d4d32659cb9b39b84bdb87d6226a9be4436e73fa316936d1333dfa50c0				
102	graph-id-property-wrapped-contains-target-23-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1335583	11777542	0.11340082675994702	200	95056	d5aa9163a912371065002f30549de9cefea57af859f009a275e381b0a849633e				
103	graph-id-property-wrapped-contains-target-24-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	14645500	8512166	1.7205374049331275	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
104	graph-id-property-wrapped-contains-target-24-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	278042	1658916	0.16760462856467717	1	754	033650595463ffba6f1f515fc8a38ba023fdd37a0e2442442be40f2d8baee0b4				
105	graph-id-property-wrapped-contains-target-24-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1379417	15070417	0.09153144202977263	200	96144	13cc3d04be15c5d98101b6676211e0260c08571becd6cbc7be1dcfad1b7efce8				
106	graph-id-property-wrapped-contains-target-25-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	14039125	8724208	1.6092148421954175	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
107	graph-id-property-wrapped-contains-target-25-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	278750	1593375	0.17494312387228367	17	9434	57a7fb26e2c1557848eddaabb17076d92c9b2ef2e0ff6b92be3de4374fe1fa9b				
108	graph-id-property-wrapped-contains-target-25-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1258667	14721542	0.08549831260882862	200	90260	d606d19bfcb83b224b953bd70176bc52dc06d427ef6ab3d0cc311bc6ed6fc260				
109	graph-id-property-wrapped-contains-target-26-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	15005583	9352666	1.6044177136230462	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
110	graph-id-property-wrapped-contains-target-26-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	256083	1632083	0.15690562305961156	1	791	550bd45f802381cb65ea30928a856fc0c2bc207cbfc2a147aad4312130548c9a				
